"tract","population","5less","fiveplus","tenplus","fifteenplus","twentyplus","twentyfiveplus","thirtyplus","thirtyfiveplus","fortyplus","fortyfiveplus","sixtyplus","ninetyplus"
"Census Tract 1.10",2108,0.0199240987,0.034629981,0.1375711575,0.3183111954,0.2699240987,0.0536053131,0.0683111954,0.0256166983,0.0227703985,0.0260910816,0.0175521822,0.0056925996
"Census Tract 1.20",1567,0.013401404,0.0229738354,0.1569878749,0.2744097001,0.3248245054,0.08232291,0.0670070198,0.0095724314,0.0051052967,0.034460753,0,0.0089342693
"Census Tract 2.10",1917,0.0146061555,0.0881585811,0.1455399061,0.2686489306,0.2608242045,0.0672926448,0.0845070423,0.0057381325,0.0067814293,0.0469483568,0.0041731873,0.0067814293
"Census Tract 2.20",2314,0.0012964564,0.0574762316,0.2121866897,0.3038029386,0.2549697494,0.0397579948,0.0570440795,0.0095073466,0.0242005186,0.014693172,0.0177182368,0.007346586
"Census Tract 3.10",1445,0,0.0588235294,0.1716262976,0.2276816609,0.2055363322,0.0941176471,0.1653979239,0.0186851211,0,0.0346020761,0.0048442907,0.0186851211
"Census Tract 3.20",1010,0.0069306931,0.0742574257,0.1336633663,0.3217821782,0.1336633663,0.1465346535,0.0643564356,0.0089108911,0.0158415842,0.0089108911,0.0198019802,0.0653465347
"Census Tract 3.30",1011,0,0.0692383778,0.2205736894,0.1819980218,0.4104846686,0.0286844708,0.0395647873,0.0049455984,0.0069238378,0.0336300692,0.0039564787,0
"Census Tract 4.10",1641,0.0255941499,0.1651432054,0.0968921389,0.3187081048,0.183424741,0.0322973796,0.1267519805,0.0109689214,0,0,0.0402193784,0
"Census Tract 4.20",2099,0.0285850405,0.0881372082,0.2267746546,0.2667937113,0.1515007146,0.0638399238,0.0914721296,0.0200095283,0.0090519295,0.0171510243,0.0133396856,0.0233444497
"Census Tract 5",2492,0.0044141252,0.0541733547,0.2010433387,0.2881219904,0.2403691814,0.0617977528,0.1123595506,0.0172552167,0.003611557,0.0092295345,0,0.0076243981
"Census Tract 6",2481,0.0237807336,0.0866586054,0.2108020959,0.2942361951,0.1970979444,0.0604594921,0.0640870617,0.0193470375,0.0133010883,0.0096735187,0.0165255945,0.0040306328
"Census Tract 7.10","993",0.0120845921,0.0251762336,0.279959718,0.2749244713,0.2336354481,0.0211480363,0.1289023162,0.0080563948,0.0070493454,0,0.0090634441,0
"Census Tract 7.20","800",0.0075,0.08,0.15,0.3325,0.18,0.06125,0.13,0.00375,0,0.055,0,0
"Census Tract 7.30","693",0,0.0202020202,0.1197691198,0.3347763348,0.176046176,0.0216450216,0.2106782107,0,0,0.0230880231,0.0490620491,0.0447330447
"Census Tract 8.10",1274,0,0.0533751962,0.1616954474,0.1279434851,0.2998430141,0.0808477237,0.1930926217,0.0070643642,0,0.0290423862,0.0313971743,0.0156985871
"Census Tract 8.20",1100,0,0.0063636364,0.1336363636,0.3936363636,0.1790909091,0.0918181818,0.0954545455,0.0245454545,0.0372727273,0.0172727273,0.0136363636,0.0072727273
"Census Tract 9.10",1068,0.0093632959,0.0177902622,0.1451310861,0.3267790262,0.1788389513,0.0552434457,0.1029962547,0.0177902622,0,0.0936329588,0.0449438202,0.0074906367
"Census Tract 9.20","717",0.0083682008,0.0767085077,0.1813110181,0.2357043236,0.2538354254,0.0641562064,0.0529986053,0.0181311018,0.0362622036,0.0167364017,0.0557880056,0
"Census Tract 10",3590,0.0091922006,0.1236768802,0.2838440111,0.23454039,0.1896935933,0.0490250696,0.0924791086,0.0075208914,0,0.0100278552,0,0
"Census Tract 11.10",1489,0.0154466085,0.1692411014,0.2323707186,0.2041638684,0.2014775017,0.0987239758,0.0476830087,0.0154466085,0.0033579584,0,0.0120886501,0
"Census Tract 11.21",1929,0.1197511664,0.2991187144,0.1923276309,0.1560393987,0.1026438569,0.0596163815,0.0492483152,0,0,0.0134784863,0,0.0077760498
"Census Tract 11.22","771",0.0311284047,0.2477302205,0.1880674449,0.1504539559,0.1504539559,0.1037613489,0.0778210117,0,0,0.0103761349,0.0402075227,0
"Census Tract 12",2037,0.0353460972,0.1305841924,0.2788414335,0.3657339224,0.0942562592,0.0068728522,0.0559646539,0,0.0142366225,0.0181639666,0,0
"Census Tract 13",2479,0.0290439693,0.2053247277,0.1774909238,0.3138362243,0.1557079468,0.0532472771,0.027833804,0.0137152077,0,0.0068576039,0.0104881,0.0064542154
"Census Tract 14","383",0,0.0104438642,0.501305483,0.1436031332,0.1853785901,0.0182767624,0.091383812,0.0287206266,0,0.0208877285,0,0
"Census Tract 15","353",0.0169971671,0.1076487252,0.1869688385,0.1586402266,0.2492917847,0.0396600567,0.1218130312,0.0368271955,0,0,0.0821529745,0
"Census Tract 16","304",0,0.1118421053,0.1184210526,0.2861842105,0.2894736842,0,0.1282894737,0,0,0,0.0657894737,0
"Census Tract 17","972",0.0555555556,0.1265432099,0.2026748971,0.2983539095,0.0853909465,0.0606995885,0.103909465,0,0.0380658436,0,0,0.0288065844
"Census Tract 18.10",1884,0.033970276,0.1841825902,0.2091295117,0.199044586,0.190552017,0.0615711253,0.1040339703,0,0,0.0058386412,0.0053078556,0.0063694268
"Census Tract 18.20",1888,0.0201271186,0.1837923729,0.2155720339,0.2341101695,0.2129237288,0.0429025424,0.0370762712,0.0127118644,0.0052966102,0.0158898305,0.0195974576,0
"Census Tract 19.01",1504,0.0159574468,0.1296542553,0.1515957447,0.3497340426,0.2240691489,0.0179521277,0.0658244681,0.0093085106,0.0093085106,0.0106382979,0.0099734043,0.0059840426
"Census Tract 19.02",2607,0.0115074799,0.1169927119,0.2121212121,0.220176448,0.1948599923,0.084004603,0.0732642885,0.0352896049,0.0061373226,0.0391254315,0.0065209053,0
